title,running_time,budget,box_office,release_date,imdb,metascore,rotten_tomatoes,directed_by,genre,total_gross,inflation_adjusted_gross,year,book_title,book_writer
Pinocchio,88,2600000,164000000,1940-02-07,7.4,99,100,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Adventure,84300000,2188229052,1940,The Adventures of Pinocchio,Carlo Collodi
Fantasia,126,2280000,83300000,1940-11-13,7.8,96,95,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']",Musical,83320000,2187090808,1940,Not based on books,Not found
Song of the South,94,2125000,65000000,1946-11-12,7.1,54,50,"['Live action ', 'Harve Foster', 'Animation ', 'Wilfred Jackson']",Adventure,65000000,1078510579,1946,Uncle Remus,Joel Chandler Harris
Cinderella,74,2900000,263600000,1950-02-15,6.9,67,84,"['Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",Drama,85000000,920608730,1950,Cinderella,Charles Perrault
Alice in Wonderland,75,3000000,5600000,1951-07-26,6.4,53,51,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",Adventure,334191110,357063499,1951,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll
"20,000 Leagues Under the Sea",127,5000000,28200000,1954-12-23,7.2,83,89,Richard Fleischer,Adventure,28200000,528279994,1954,Twenty Thousand Leagues Under the Sea,Jules Verne
Lady and the Tramp,76,4000000,187000000,1955-06-22,7.3,78,93,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",Drama,93600000,1236035515,1955,"Happy Dan, The Cynical Dog",Ward Greene
Sleeping Beauty,75,6000000,51600000,1959-01-29,7.2,85,89,"['Clyde Geronimi  supervising ', 'Eric Larson', 'Wolfgang Reitherman', 'Les Clark']",Drama,9464608,21505832,1959,Sleeping Beauty,Charles Perrault
The Shaggy Dog,104,1000000,12300000,1959-03-19,4.4,43,26,Charles Barton,Comedy,61123569,78667428,1959,The Hound of Florence,Felix Salten
Babes in Toyland,105,3000000,4600000,1961-12-14,6.3,55,36,Jack Donohue,Musical,10218316,124841160,1961,Babes in Toyland,Victor Herbert and Glen MacDonough
The Sword in the Stone,79,3000000,22200000,1963-12-25,7.2,61,66,Wolfgang Reitherman,Adventure,22182353,153870834,1963,The Sword in the Stone,T. H. White
The Jungle Book,78,4000000,378000000,1967-10-18,7.4,77,94,Wolfgang Reitherman,Musical,141843000,789612346,1967,The Jungle Book,Rudyard Kipling
The Aristocats,79,4000000,191000000,1970-12-11,7.1,66,64,Wolfgang Reitherman,Musical,55675257,255161499,1970,The Aristocats,Tom McGowan and Tom Rowe
Bedknobs and Broomsticks,118,6300000,17900000,1971-10-07,7.1,59,66,Robert Stevenson,Musical,17871174,91305448,1971,The Magic Bedknob   Bonfires and Broomsticks,Mary Norton
Freaky Friday,95,5000000,36000000,1976-12-17,6.2,70,88,Gary Nelson,Comedy,25942000,98067733,1976,Freaky Friday,Mary Rodgers
The Rescuers,77,7500000,169000000,1977-06-22,6.9,74,81,"['Wolfgang Reitherman', 'John Lounsbery', 'Art Stevens']",Adventure,48775599,159743914,1977,The Rescuers and Miss Bianca,Margery Sharp
The Fox and the Hound,83,12000000,63500000,1981-07-10,7.3,65,70,"['Ted Berman', 'Richard Rich', 'Art Stevens']",Comedy,43899231,133118889,1981,The Fox and the Hound,Daniel P. Mannix
Tex,103,5000000,7400000,1982-07-30,6.5,78,85,Tim Hunter,Drama,7199408,20643199,1982,Tex,S. E. Hinton
Return to Oz,113,28000000,11100000,1985-06-21,6.7,42,53,Walter Murch,Adventure,10618813,25215934,1985,The Marvelous Land of Oz and Ozma of Oz,L. Frank Baum
The Black Cauldron,80,25000000,21300000,1985-07-26,6.4,59,53,"['Ted Berman', 'Richard Rich']",Adventure,21288692,50553142,1985,The Book of Three and The Black Cauldron,Lloyd Alexander
The Great Mouse Detective,74,14000000,38700000,1986-07-02,7.2,73,80,"['Ron Clements', 'Burny Mattinson', 'Dave Michener', 'John Musker']",Adventure,23605534,53637367,1986,Basil of Baker Street,Eve Titus and Paul Galdone
Flight of the Navigator,90,9000000,18564613,1986-08-01,6.9,64,84,Randal Kleiser,Adventure,18564613,42183197,1986,Not based on books,Not found
Oliver   Company,74,31000000,121000000,1988-11-18,6.7,58,50,George Scribner,Adventure,49576671,102254492,1988,Oliver Twist,Charles Dickens
"Honey, I Shrunk the Kids",93,18000000,222700000,1989-06-23,6.4,63,76,Joe Johnston,Adventure,130724172,276191669,1989,Not based on books,Not found
White Fang,107,14000000,34800000,1991-01-18,6.7,62,65,Randal Kleiser,Adventure,34729091,69540672,1991,White Fang,Jack London
The Rocketeer,108,35000000,46700000,1991-06-21,6.5,61,65,Joe Johnston,Action,46573027,93256673,1991,The Rocketeer,Dave Stevens
Beauty and the Beast,84,25000000,440100000,1991-09-29,8.0,95,94,"['Gary Trousdale', 'Kirk Wise']",Musical,218951625,363017667,1991,Beauty and the Beast,Jeanne-Marie Leprince de Beaumont
The Mighty Ducks,104,14000000,50800000,1992-10-02,6.5,46,23,Stephen Herek,Comedy,50752337,103120810,1992,Not based on books,Not found
Aladdin,90,28000000,504100000,1992-11-25,8.0,86,95,"['John Musker', 'Ron Clements']",Comedy,217350219,441969178,1992,Aladdin and the Magic Lamp from One Thousand and One Nights,Not found
The Muppet Christmas Carol,86,12000000,27200000,1992-12-11,7.7,64,76,Brian Henson,Comedy,27281507,55417615,1992,A Christmas Carol,Charles Dickens
Cool Runnings,98,17000000,154900000,1993-10-01,7.0,60,76,Jon Turteltaub,Comedy,68856263,140392731,1993,Not based on books,Not found
The Three Musketeers,105,30000000,53900000,1993-11-12,5.7,35,26,Stephen Herek,Adventure,53661805,109310377,1993,by,Not found
Blank Check,94,13000000,30600000,1994-02-11,5.3,42,9,Rupert Wainwright,Comedy,30573770,63170804,1994,Not based on books,Not found
The Lion King,88,45000000,968500000,1994-06-15,8.5,88,93,"['Roger Allers', 'Rob Minkoff']",Adventure,422780140,761640898,1994,Hamlet,William Shakespeare
Angels in the Outfield,102,31000000,50200000,1994-07-15,6.2,44,33,William Dear,Comedy,50236831,103798152,1994,Angels in the Outfield,Dorothy Kingsley George Wells
The Santa Clause,97,22000000,189800000,1994-11-11,6.5,57,71,John Pasquin,Comedy,144833357,298369717,1994,Not based on books,Not found
Man of the House,96,22000000,40070995,1995-03-03,5.4,35,9,James Orr,Comedy,40029009,77573459,1995,Not based on books,Not found
Pocahontas,81,55000000,346100000,1995-06-23,6.7,58,55,"['Mike Gabriel', 'Eric Goldberg']",Adventure,141579773,274370957,1995,Pocahontas,Not found
Operation Dumbo Drop,108,24000000,24670346,1995-07-28,5.1,48,31,Simon Wincer,Adventure,24670346,47809421,1995,Not based on books,Not found
A Kid in King Arthur's Court,89,15000000,13400000,1995-08-11,4.7,34,5,Michael Gottlieb,Adventure,13406717,25981285,1995,Not based on books,Not found
Toy Story,81,30000000,373600000,1995-11-19,8.3,95,100,John Lasseter,Adventure,191796233,370409631,1995,Not based on books,Not found
Muppet Treasure Island,100,31000000,34300000,1996-02-16,7.0,64,73,Brian Henson,Adventure,34327391,65470567,1996,Treasure Island,Robert Louis Stevenson
James and the Giant Peach,79,38000000,28900000,1996-04-12,6.7,78,91,Henry Selick,Adventure,28921264,55159783,1996,James and the Giant Peach,Roald Dahl
